Compilateur,Optimisation,Average_Power,Total_Energy,Temps
gcc,O0,0.41,2.85,10
gcc,O1,0.42,4.19,10
gcc,O2,0.42,4.15,10
gcc,O3,0.42,4.18,10
gcc,Os,0.43,4.34,10
icx,O0,0.43,4.33,10
icx,O1,0.43,4.33,10
icx,O2,0.42,4.18,10
icx,O3,0.42,4.16,10
icx,Os,0.42,3.76,10
gcc,O0,0.42,3.82,10
gcc,O1,0.44,3.95,10
gcc,O2,0.42,3.75,10
gcc,O3,0.43,3.89,10
gcc,Os,0.44,3.94,10
icx,O0,0.44,3.94,10
icx,O1,0.44,4.37,10
icx,O2,0.44,4.40,10
icx,O3,0.43,4.32,10
icx,Os,0.44,4.36,10
