Option,Compileur,Run,Average_Power,Total_Energy
O0,gcc,1,0.42,2.94
O0,gcc,2,0.43,3.88
O1,gcc,1,0.43,3.91
O1,gcc,2,0.44,3.92
O2,gcc,1,0.43,4.33
O2,gcc,2,0.44,3.97
O3,gcc,1,0.42,3.76
O3,gcc,2,0.44,3.97
Os,gcc,1,0.44,3.94
Os,gcc,2,0.44,3.92
O0,icx,1,0.40,3.62
O0,icx,2,0.44,3.94
O1,icx,1,0.42,3.75
O1,icx,2,0.44,3.92
O2,icx,1,0.44,3.93
O2,icx,2,0.44,3.97
O3,icx,1,0.44,3.93
O3,icx,2,0.44,3.95
Os,icx,1,0.44,4.35
Os,icx,2,0.44,3.98
