Compilateur,Optimisation,Average_Power,Total_Energy,Temps
gcc,O0,0.43,20.68,60
gcc,O1,0.43,20.96,60
gcc,O2,0.43,21.19,60
gcc,O3,0.43,21.63,60
gcc,Os,0.44,21.91,60
icx,O0,0.43,21.66,60
icx,O1,0.42,21.25,60
icx,O2,0.43,21.49,60
icx,O3,0.44,21.84,60
icx,Os,0.43,22.04,60
