Compilateur,Optimisation,Average_Power,Total_Energy,Temps
gcc,O0,0.43,3.84,10
gcc,O1,0.44,3.92,10
gcc,O2,0.42,3.77,10
gcc,O3,0.42,3.77,10
gcc,Os,0.43,3.89,10
icx,O0,0.44,3.92,10
icx,O1,0.42,3.76,10
icx,O2,0.43,3.88,10
icx,O3,0.44,3.92,10
icx,Os,0.40,3.99,10
gcc,O0,0.43,3.91,10
gcc,O1,0.43,3.91,10
gcc,O2,0.44,3.92,10
gcc,O3,0.44,3.93,10
gcc,Os,0.44,3.94,10
icx,O0,0.43,3.89,10
icx,O1,0.43,3.90,10
icx,O2,0.43,3.90,10
icx,O3,0.43,3.90,10
icx,Os,0.43,3.91,10
