Compilateur,Optimisation,Average_Power,Total_Energy,Temps
gcc,O0,0.41,3.66,10
gcc,O1,0.42,4.17,10
gcc,O2,0.42,4.21,10
gcc,O3,0.40,3.57,10
gcc,Os,0.39,3.92,10
icx,O0,0.41,4.08,10
icx,O1,0.40,3.99,10
icx,O2,0.42,4.21,10
icx,O3,0.40,4.02,10
icx,Os,0.39,3.49,10
gcc,O0,0.41,4.06,10
gcc,O1,0.40,4.04,10
gcc,O2,0.42,4.18,10
gcc,O3,0.37,3.72,10
gcc,Os,0.42,4.18,10
icx,O0,0.42,4.19,10
icx,O1,0.41,4.14,10
icx,O2,0.40,4.04,10
icx,O3,0.42,3.80,10
icx,Os,0.38,3.77,10
