Option,Compileur,Run,Average_Power,Total_Energy
O0,gcc,1,0.43,3.84
O0,gcc,2,0.42,2.97
O1,gcc,1,0.42,3.81
O1,gcc,2,0.37,3.34
O2,gcc,1,0.40,3.60
O2,gcc,2,0.41,3.66
O3,gcc,1,0.39,3.51
O3,gcc,2,0.43,3.83
Os,gcc,1,0.43,3.83
Os,gcc,2,0.41,3.66
O0,icx,1,0.42,3.77
O0,icx,2,0.43,3.84
O1,icx,1,0.41,3.73
O1,icx,2,0.43,3.85
O2,icx,1,0.39,3.52
O2,icx,2,0.41,3.67
O3,icx,1,0.41,3.66
O3,icx,2,0.42,4.18
Os,icx,1,0.41,4.06
Os,icx,2,0.41,3.66
