	0.00s ,		0.00s ,		0.00s 
	0.00s ,		0.00s ,		0.00s 
	0.00s ,		0.00s ,		0.00s 
	1.74s ,		6.38s ,		0.01s 
	1.65s ,		5.96s ,		0.01s 
	1.64s ,		6.22s ,		0.01s 
	1.60s ,		6.30s ,		0.01s 
	1.71s ,		6.37s ,		0.01s 
	1.70s ,		6.24s ,		0.01s 
	1.71s ,		6.44s ,		0.02s 
	1.70s ,		6.43s ,		0.01s 
	1.75s ,		6.54s ,		0.01s 
	1.62s ,		6.22s ,		0.02s 
	1.69s ,		6.37s ,		0.01s 
	1.60s ,		6.16s ,		0.01s 
	1.61s ,		6.14s ,		0.01s 
	1.67s ,		6.44s ,		0.01s 
	1.69s ,		6.35s ,		0.01s 
	1.69s ,		6.28s ,		0.01s 
	1.74s ,		6.27s ,		0.02s 
	1,70s ,		6,42s ,		0,01s 
	1,65s ,		6,33s ,		0,00s 
	1,75s ,		6,58s ,		0,01s 
	1,75s ,		6,39s ,		0,02s 
	1,55s ,		5,95s ,		0,00s 
	1,66s ,		6,44s ,		0,00s 
	1,66s ,		6,40s ,		0,02s 
	1,74s ,		6,20s ,		0,00s 
	1,74s ,		6,27s ,		0,00s 
	1,67s ,		6,31s ,		0,00s 
	1,74s ,		6,62s ,		0,00s 
	1,74s ,		6,54s ,		0,00s 
	1,69s ,		6,28s ,		0,01s 
	1,69s ,		6,34s ,		0,02s 
	1,70s ,		6,33s ,		0,02s 
	1,90s ,		6,44s ,		0,05s 
	1,70s ,		6,31s ,		0,03s 
	1,70s ,		6,24s ,		0,02s 
	1,60s ,		6,17s ,		0,02s 
	1,69s ,		6,27s ,		0,01s 
	1,53s ,		5,96s ,		0,00s 
	1,71s ,		6,52s ,		0,01s 
	1,68s ,		6,18s ,		0,01s 
	1,60s ,		6,27s ,		0,00s 
	1,64s ,		6,25s ,		0,01s 
	1,62s ,		5,91s ,		0,00s 
	1,70s ,		6,31s ,		0,01s 
	1,61s ,		6,10s ,		0,01s 
	1,53s ,		6,03s ,		0,01s 
	1,88s ,		6,60s ,		0,00s 
	1,68s ,		6,32s ,		0,00s 
	1,66s ,		6,35s ,		0,00s 
	1,67s ,		6,55s ,		0,00s 
	1,77s ,		6,48s ,		0,00s 
	1,77s ,		6,87s ,		0,00s 
	1,71s ,		6,30s ,		0,00s 
	1,72s ,		6,09s ,		0,00s 
	1,65s ,		6,08s ,		0,01s 
	1,67s ,		6,27s ,		0,00s 
	1,70s ,		6,32s ,		0,01s 
	1,70s ,		6,31s ,		0,01s 
	1,70s ,		6,33s ,		0,00s 
	1,66s ,		6,07s ,		0,00s 
	1,78s ,		6,42s ,		0,00s 
	1,70s ,		6,47s ,		0,00s 
	1,69s ,		6,47s ,		0,00s 
	1,66s ,		6,33s ,		0,00s 
	1,59s ,		6,29s ,		0,00s 
	1,48s ,		5,62s ,		0,00s 
	1,90s ,		7,17s ,		0,04s 
	2,33s ,		7,53s ,		0,30s 
